"Taste","Texture","Crust","Temperature","Humidity","BakeTime","Proof1","Proof2","Coating","Oil","Egg","PctLiquid","BakeTemp","DayOfYear"
7,8,8,22.6,30.2,50,1.5,90,0.2,30,1,70,165,90
5,9,9,23.7,32.6,30,2,75,0.5,20,0,60,200,76
5,7,7,18.6,27.5,50,2,45,0.2,20,1,80,200,59
7,9,7,20.9,33.2,45,2,90,0.1,30,1,70,190,16
6,8,8,23.8,29.6,50,3,60,0.3,0,1,70,190,29
8,7,8,20.4,28.1,30,2,45,0.3,40,2,80,165,67
7,8,8,23.8,30.1,35,3,15,0.5,30,1,70,177,7
7,8,5,21.5,34.8,30,2.5,60,0.4,0,2,70,165,8
5,8,6,19.6,36,45,2.5,75,0.1,30,1,80,190,36
7,9,10,19.4,30,35,2.5,90,0.4,20,0,70,200,58
5,9,6,21.4,37.5,45,1.5,90,0.3,20,0,60,200,39
5,7,8,21.5,29.2,30,3,30,0.3,0,0,70,190,4
7,8,7,21.3,31.8,30,2.5,90,0.2,40,2,60,190,40
7,7,9,21.7,29.7,35,1,30,0.2,20,1,60,200,25
4,8,7,19.5,24.5,35,1.5,15,0.4,40,1,70,190,55
6,8,8,21.9,26.7,30,1,30,0.5,30,0,70,177,16
4,6,7,20.8,36.2,30,1.5,90,0.2,20,0,70,190,72
6,6,7,19.3,27.8,50,2,75,0.1,20,0,80,165,82
5,8,8,22.4,28.6,45,3,45,0.5,0,1,70,177,7
7,6,5,24.1,35.3,50,2.5,15,0.3,40,2,80,177,51
7,6,7,23.9,26.7,35,2.5,75,0.5,40,1,70,190,51
6,6,8,19.9,31.9,50,1.5,15,0.5,40,2,80,190,63
6,7,8,22,29.6,50,1,90,0.4,30,2,80,177,28
6,8,8,22.6,28.7,35,2.5,90,0.1,40,0,60,177,3
4,7,8,25.7,27.6,30,1.5,15,0.1,30,0,60,190,25
5,7,8,18.8,27.4,35,2.5,30,0.1,20,0,60,190,34
6,8,7,18.9,28.8,35,1.5,30,0.1,20,2,60,165,31
7,8,6,22.6,36.6,40,2,60,0.3,40,1,60,165,86
5,7,7,20.4,27.8,30,3,45,0.3,0,1,80,200,91
6,7,7,19.3,26.5,35,1.5,75,0.1,40,0,70,165,31
6,9,9,17.9,28.1,40,2,15,0.5,40,0,80,200,22
5,7,7,18.1,28.4,40,1.5,15,0.2,20,1,60,165,31
6,8,8,19.9,31.6,30,1,30,0.5,40,2,80,177,12
8,7,5,18.6,39.8,40,3,60,0.3,20,1,60,200,27
6,9,6,21.3,26.6,40,1.5,30,0.1,20,2,60,165,67
8,8,7,18.6,28.9,30,3,45,0.2,30,2,70,165,24
7,8,7,22.3,33,35,2.5,15,0.1,40,2,80,165,49
7,7,6,20.8,25.5,35,1.5,60,0.3,30,1,60,165,9
4,7,8,21.2,29.9,30,2,30,0.5,0,0,70,177,43
6,9,7,20.1,27.2,50,2.5,90,0.4,20,1,70,200,28
6,8,9,24.7,29.6,50,1.5,60,0.4,40,0,70,165,87
5,8,6,20.4,40.5,50,2.5,15,0.5,20,0,70,177,13
5,8,8,21.9,30.4,30,1,30,0.4,40,1,60,190,24
5,7,6,23.7,31.4,50,2.5,15,0.1,0,2,80,200,57
6,8,6,22.8,37.4,35,1,60,0.5,40,1,60,190,26
6,6,5,23.3,38.5,45,2,75,0.4,0,2,70,165,32
7,8,8,20.6,29.6,45,3,45,0.2,20,0,60,177,20
5,7,9,22.7,30.5,30,1.5,15,0.5,30,0,80,190,49
8,8,7,21.6,30.1,35,2.5,75,0.1,40,2,80,165,35
7,7,6,19.8,34.1,35,2.5,90,0.2,0,2,70,190,36
6,8,7,18.5,36,45,3,60,0.4,30,1,70,165,40
8,5,6,23.5,37.2,45,2.5,90,0.4,0,1,70,165,47
5,10,7,20.6,29.9,40,1.5,45,0.1,30,2,60,200,31
6,7,8,18.3,28.3,45,2,15,0.5,0,2,80,190,39
7,7,8,22.3,24.5,35,2.5,90,0.5,30,0,60,190,28
6,7,7,19.2,32.7,50,3,15,0.1,40,1,60,165,67
5,8,8,23.4,28,45,2,15,0.2,0,0,80,190,31
7,7,7,23.5,31.6,40,3,90,0.1,20,1,70,177,70
7,7,8,18.2,33.3,50,3,30,0.2,40,0,80,190,26
5,6,7,19.4,29.1,40,2.5,60,0.1,0,1,80,200,36
4,7,8,18.2,25.8,40,1.5,30,0.3,40,0,80,177,19
6,8,6,22,27.4,45,1.5,60,0.2,20,2,80,165,80
6,8,7,18.6,28.7,50,2,30,0.1,20,1,80,200,25
5,7,9,22.6,29.1,40,1.5,75,0.4,40,0,80,165,75
6,8,8,21.4,30,35,3,60,0.4,0,2,70,165,84
5,8,8,24.3,25.6,30,2,90,0.4,40,0,80,177,80
5,7,7,21.9,28.8,35,1,90,0.1,0,2,80,200,69
6,9,9,20.9,28.7,35,3,15,0.4,20,1,60,165,49
6,8,9,23.2,31.6,30,2.5,45,0.4,40,0,80,190,3
4,6,6,21,25.7,30,1,30,0.5,0,1,70,177,36
6,7,7,21.6,30.7,30,2,90,0.1,20,2,80,177,21
6,7,7,23,29.1,30,2.5,15,0.1,20,1,80,177,12
5,7,8,17.5,28.9,50,1,60,0.1,40,0,70,177,63
6,7,8,24.3,33.2,35,1,15,0.3,20,0,80,177,84
6,9,7,21.3,29,45,1,45,0.2,20,2,70,165,75
5,9,8,18.8,33.5,35,2,60,0.4,20,1,80,190,78
