"Prov.State","Country","Lat","Long","Date","Confirmed","Deaths","Recovered"
"","Afghanistan",33,65,2020-01-22 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-23 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-24 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-25 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-26 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-27 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-28 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-29 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-30 07:00:00,0,0,0
"","Afghanistan",33,65,2020-01-31 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-01 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-02 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-03 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-04 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-05 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-06 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-07 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-08 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-09 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-10 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-11 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-12 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-13 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-14 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-15 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-16 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-17 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-18 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-19 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-20 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-21 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-22 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-23 07:00:00,0,0,0
"","Afghanistan",33,65,2020-02-24 07:00:00,1,0,0
"","Afghanistan",33,65,2020-02-25 07:00:00,1,0,0
"","Afghanistan",33,65,2020-02-26 07:00:00,1,0,0
"","Afghanistan",33,65,2020-02-27 07:00:00,1,0,0
"","Afghanistan",33,65,2020-02-28 07:00:00,1,0,0
"","Afghanistan",33,65,2020-02-29 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-01 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-02 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-03 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-04 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-05 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-06 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-07 07:00:00,1,0,0
"","Afghanistan",33,65,2020-03-08 08:00:00,4,0,0
"","Afghanistan",33,65,2020-03-09 08:00:00,4,0,0
"","Afghanistan",33,65,2020-03-10 08:00:00,5,0,0
"","Afghanistan",33,65,2020-03-11 08:00:00,7,0,0
"","Afghanistan",33,65,2020-03-12 08:00:00,7,0,0
"","Afghanistan",33,65,2020-03-13 08:00:00,7,0,0
"","Afghanistan",33,65,2020-03-14 08:00:00,11,0,0
"","Afghanistan",33,65,2020-03-15 08:00:00,16,0,0
"","Afghanistan",33,65,2020-03-16 08:00:00,21,0,1
"","Afghanistan",33,65,2020-03-17 08:00:00,22,0,1
"","Afghanistan",33,65,2020-03-18 08:00:00,22,0,1
"","Afghanistan",33,65,2020-03-19 08:00:00,22,0,1
"","Afghanistan",33,65,2020-03-20 08:00:00,24,0,1
"","Afghanistan",33,65,2020-03-21 08:00:00,24,0,1
"","Afghanistan",33,65,2020-03-22 08:00:00,40,1,1
"","Afghanistan",33,65,2020-03-23 08:00:00,40,1,1
"","Afghanistan",33,65,2020-03-24 08:00:00,74,1,1
"","Afghanistan",33,65,2020-03-25 08:00:00,84,2,2
"","Afghanistan",33,65,2020-03-26 08:00:00,94,4,2
"","Afghanistan",33,65,2020-03-27 08:00:00,110,4,2
"","Afghanistan",33,65,2020-03-28 08:00:00,110,4,2
"","Afghanistan",33,65,2020-03-29 08:00:00,120,4,2
"","Afghanistan",33,65,2020-03-30 08:00:00,170,4,2
"","Afghanistan",33,65,2020-03-31 08:00:00,174,4,5
"","Afghanistan",33,65,2020-04-01 08:00:00,237,4,5
"","Afghanistan",33,65,2020-04-02 08:00:00,273,6,10
"","Afghanistan",33,65,2020-04-03 08:00:00,281,6,10
"","Afghanistan",33,65,2020-04-04 08:00:00,299,7,10
"","Afghanistan",33,65,2020-04-05 08:00:00,349,7,15
"","Afghanistan",33,65,2020-04-06 08:00:00,367,11,18
"","Afghanistan",33,65,2020-04-07 08:00:00,423,14,18
"","Afghanistan",33,65,2020-04-08 08:00:00,444,14,29
"","Afghanistan",33,65,2020-04-09 08:00:00,484,15,32
"","Afghanistan",33,65,2020-04-10 08:00:00,521,15,32
"","Afghanistan",33,65,2020-04-11 08:00:00,555,18,32
"","Afghanistan",33,65,2020-04-12 08:00:00,607,18,32
"","Afghanistan",33,65,2020-04-13 08:00:00,665,21,32
"","Afghanistan",33,65,2020-04-14 08:00:00,714,23,40
"","Afghanistan",33,65,2020-04-15 08:00:00,784,25,43
"","Afghanistan",33,65,2020-04-16 08:00:00,840,30,54
"","Afghanistan",33,65,2020-04-17 08:00:00,906,30,99
"","Afghanistan",33,65,2020-04-18 08:00:00,933,30,112
"","Afghanistan",33,65,2020-04-19 08:00:00,996,33,131
"","Afghanistan",33,65,2020-04-20 08:00:00,1026,36,135
"","Afghanistan",33,65,2020-04-21 08:00:00,1092,36,150
"","Afghanistan",33,65,2020-04-22 08:00:00,1176,40,166
"","Afghanistan",33,65,2020-04-23 08:00:00,1279,42,179
"","Afghanistan",33,65,2020-04-24 08:00:00,1351,43,188
"","Afghanistan",33,65,2020-04-25 08:00:00,1463,47,188
"","Afghanistan",33,65,2020-04-26 08:00:00,1531,50,207
"","Albania",41.1533,20.1683,2020-01-22 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-23 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-24 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-25 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-26 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-27 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-28 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-29 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-30 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-01-31 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-01 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-02 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-03 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-04 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-05 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-06 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-07 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-08 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-09 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-10 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-11 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-12 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-13 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-14 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-15 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-16 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-17 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-18 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-19 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-20 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-21 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-22 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-23 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-24 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-25 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-26 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-27 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-28 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-02-29 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-01 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-02 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-03 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-04 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-05 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-06 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-07 07:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-08 08:00:00,0,0,0
"","Albania",41.1533,20.1683,2020-03-09 08:00:00,2,0,0
"","Albania",41.1533,20.1683,2020-03-10 08:00:00,10,0,0
"","Albania",41.1533,20.1683,2020-03-11 08:00:00,12,1,0
"","Albania",41.1533,20.1683,2020-03-12 08:00:00,23,1,0
"","Albania",41.1533,20.1683,2020-03-13 08:00:00,33,1,0
"","Albania",41.1533,20.1683,2020-03-14 08:00:00,38,1,0
"","Albania",41.1533,20.1683,2020-03-15 08:00:00,42,1,0
"","Albania",41.1533,20.1683,2020-03-16 08:00:00,51,1,0
"","Albania",41.1533,20.1683,2020-03-17 08:00:00,55,1,0
"","Albania",41.1533,20.1683,2020-03-18 08:00:00,59,2,0
"","Albania",41.1533,20.1683,2020-03-19 08:00:00,64,2,0
"","Albania",41.1533,20.1683,2020-03-20 08:00:00,70,2,0
"","Albania",41.1533,20.1683,2020-03-21 08:00:00,76,2,2
"","Albania",41.1533,20.1683,2020-03-22 08:00:00,89,2,2
